TI,DE,ID,AB,PY
Floral trait variation in four Cyclamen (Primulaceae) species,Primulaceae; Cyclamen; buzz-pollination; floral biology; inbreeding coefficients; Mediterranean islands; pollen/ovule ratio,POPULATION GENETIC-STRUCTURE; FLOWERING PLANTS; BREEDING SYSTEMS; BUZZ-POLLINATION; SEX ALLOCATION; POLLEN; ISLAND; RESOURCES; BIOLOGY,"The purpose of this study is to examine floral trait variation between four Cyclamen species that show variation in their ability to reproduce in the absence of pollinators and in levels of inbreeding. Pollen and ovule production, pollen/ovule ratio, pollen volume, petal length and width, diameter of the corolla mouth, pistil and stamen length, and stigma-anther separation varied significantly between the four study species. Flower, pollen and ovule production, pollen volume and corolla size were generally highest in C. hederifolium, the species with the lowest level of inbreeding (mean F-is = 0.329), intermediate in both species with relatively high levels of pollinator-mediated inbreeding, C. repandum (mean F-is=0.658) and C. creticum (mean F-is=0.748), and lowest in the highly inbred C. balearicum (mean F-is = 0.930). The two species with the most different inbreeding coefficients, C. hederifolium and C. balearicum, had lower pollen-ovule ratios and shorter longevities of stigma receptivity and pollen viability than C. creticum and C. repandum. These patterns of variation in floral traits are discussed in relation to the relatedness, pollination ecology and levels of inbreeding of the four species.",1998
Is Echeveria gibbiflora (Crassulaceae) fecundity limited by pollen availability? An experimental study,female fecundity; hummingbird pollination; Mexico; pollen limitation; resource limitation,SEED PRODUCTION; REPRODUCTIVE PATTERNS; POLLINATOR LIMITATION; FRUIT PRODUCTION; YUCCA-WHIPPLEI; FLOWER; ABORTION; RESOURCE; FITNESS; ORCHID,"1. An experimental approach, manually pollinating all the flowers of individual plants, was used to measure the effect of pollen limitation on female fecundity of the hummingbird-pollinated perennial shrub Echeveria gibbiflora in the ecological preserve of Pedregal de San Angel around Mexico City, Mexico. Eleven randomly selected plants were manually over-pollinated in all their flowers and another 11 were left to be freely visited by natural pollinators. 2. Manually pollinated plants produced significantly more fruit and seeds than control plants (1.38 and 1.74 times, respectively). There was no change in average mass of fruits. 3, Considering individual fruit production per plant sampled three times in one season, decreases in fruit mass and average seeds per fruit were observed within the same reproductive season for both treatments. For the manually pollinated plants, from the start to the end of the reproductive season, seed set decreased 55.9%; while in control plants seed set decreased 33.4% in the same period. For both treatments, average fruit mass decreased 26%. 4, Vegetative growth was not significantly different between control and experimental plants but hand-pollinated plants showed a smaller reproduction probability for the following year. 5, It is concluded that female fecundity in E. gibbiflora is limited by pollen early in the reproductive season and by resources in the middle and the end of the season.",1998
The hummingbird community of a lowland Amazonian rainforest,,SPECIES RICHNESS; ORGANIZATION; BIRDS; ECOLOGY; POLLINATION; MORPHOLOGY; HABITATS,"Between October 1987 and September 1989, the British Ornithologists' Union Colombia Expedition recorded 16 species of hummingbird at Matamata in the Amacayacu National Park, Amazonas, Colombia, Most of these species were resident breeders at the study site although two appeared to be local migrants. Six species of hermit hummingbirds (subfamily Phaethornithinae) occurred at Matamata; although very similar in general morphology and behaviour, they showed different preferences for habitat, food plants and foraging technique, Hermits were predominant in the forest, but in areas of secondary vegetation and along riverine borders,""typical"" hummingbirds (subfamily Trochilinae) wore more common. The study site consisted of terra firme and varzea forest and an area of riverine secondary vegetation and contained around 60 species of flowering plants visited by hummingbirds. In contrast with most groups of organisms, hummingbirds and hummingbird-pollinated plants had similar species diversity in primary forest and secondary habitats, The overall abundance of hummingbirds and flowers was significantly higher in areas of riverine secondary growth. The hummingbird community at Matamata is remarkably species rich when compared with study sites elsewhere in North and South America, However, random null model comparisons among Amazonian hummingbird communities reveal that they share many characteristics in their structure and show a high degree of species overlap.",1998
Ecological characteristics of the flora of the Northwest Iberian Peninsula,dioecy; dispersal; flora of Galicia; life forms; Northwest Iberian Peninsula; pollination,SEED DISPERSAL SPECTRA; FLOWERING PLANTS; ANGIOSPERM FAMILIES; LIFE FORMS; DIOECY; DIVERSIFICATION; POLLINATION; CONSTRAINTS; COMMUNITIES; EVOLUTION,"An analysis of the ecological characteristics (life form, seed-dispersal mode, pollination mode, and reproductive mode) of about 1800 species of the flora of northwest Spain indicates that the most frequent characteristics are hemicryptophyte or therophyte life form, semachorous or barochorous seed dispersal, entomophilous pollination, and hermaphroditism. Following binary classification of the above characteristics (herbaceous versus woody Life form, animal-assisted versus abiotic seed dispersal, animal-assisted versus abiotic pollination, dioecous versus hermaphrodite reproductive mode), statistically significant associations were found for all pairs of characteristics except pollination mode and reproductive mode (in disagreement with the results of previous studies which have detected significant associations between dioecy and abiotic pollination) and pollination mode and Life form. To investigate the evolutionary plasticity of the different characters, we used nested analysis of variance with (in the case of life form, for example) percentage of species in genus with herbaceous life form as response variable, and with genus, family, order and subclass as nested factors and class as crossed factor. The results of this analysis indicated that higher-level grouping (class or subclass) accounted for the majority of total variance only in the case of pollination mode, suggesting either that pollination mode was typically determined early in evolutionary history and that there is currently Little plasticity in this characteristic (i.e., phylogenetic constraints), or that this characteristic has been subject to stabilizing selection (i.e., phylogenetic niche conservatism). The other ecological characters, by contrast, showed high variability at lower levels in the taxonomic hierarchy.",1998
Controlled crosses between pendunculate and sessile oak: results and conclusion,Quercus petraea; Quercus robur; controlled crosses; hybrids; species concept,QUERCUS-ROBUR L; PETRAEA MATT LIEBL; PEDUNCULATE OAK,"Among 1989 and 1996 were 40485 flowers of Quercus robur and Quercus petraea controlled crossed. From these crossings developed 5261 acorns and 1933 plants (Fig. 3), 568 are hybrids (Tab. 3). Most hybrids are from the combination Quercus robur x Quercus petraea. Individual crossings barriers are higher in Quercus petraea than in Quercus robur. This is true for inter- and intraspecific crosses (Fig. 5 and 6). The success rate of the crossings is in percent plants from pollinated flowers: Quercus robur (Selfing) 1.3 %; Q. robur x Q. robur (Intraspecific) 11.3 %; Q. robur x Q. petraea (Hybrid) 5.3 %; Q. petraea x Q. robur (Hybrid) 0.8 %; Q. petraea x Q. petraea (Intraspecific) 5.8 %; Quercus petraea (Selfing) 0 %. The rate of success of the combination Quercus robur x Q. petraea is as high as the success rate of the intraspecific crosses with Quercus petraea (Fig. 4, Tab. 2). The weight of the acorns has in so far influence on the crossing success, as acorns from Q. robur, which are heavier, produce a higher rate of plants. From heavier acorns also grow higher plants (Fig. 2, 7). In the morphologic traits the offspring resemble their mothers. Still juvenile traits overlap this. It is discussed, the follow the proposal of KLEINSCHMIT, J. R. G. not to separate these Quercus into two species, but to agree on one species with two ecological separated subspecies.",1998
Toward an ecological approach for the assessment of ecosystem health,,POLLUTION-INDUCED DISTURBANCE; MARINE BENTHIC COMMUNITIES; ASSEMBLAGES,"Many ecologists express difficulty with the concept of ecosystem health. Ecosystem health must have definable and objective norms that allow for rigorous hypothesis testing for it to be acceptable to those ecologists. One step toward objective measurement of ecosystem health is to characterize ecosystem health by diversity-abundance relationships. The log-normal relationship between diversity and abundance characterizes taxocenes (i.e., taxonomically related groups that have similar ecological functions). Under conditions of stress, the patterns of diversity and abundance often change and are no longer log-normal. This change in patterns has been shown for some, but not all, marine and terrestrial taxocenes tested. The interdisciplinary possibilities for using log-normality, and deviation from it, as a measure of natural and anthropogenic ecosystem health are discussed. The interdisciplinarity of ecosystem health is illustrated with an example of blueberry pollinator decline caused by insecticide spraying in New Brunswick, Canada, and related economic and human health costs.",1998
Plant reproductive intervals and pollinators in the aseasonal tropics: a new model,display effect; reproductive interval; pollination; mortality; productivity; forest strata,RAIN-FOREST; BEHAVIOR; ECOLOGY; BEES,"What factors determine reproductive intervals and modes of pollination in plants of the aseasonal tropics? To answer this general question, we present a new explanation for some community patterns of plant reproductive intervals and pollinators observed in a lowland dipterocarp forest in Sarawak, Malaysia, using a mathematical model featuring different display effects for different types of pollinators. Predictions from the model matched with the following observed patterns: (i) flowering intervals were different among forest strata (forest floor < understorey < canopy < subcanopy and emergent), and not in the exact order of stratum height; (ii) among generalist pollinators, the proportion of social foragers was maximum in intermediate forest stratum; and (iii) plants pollinated by specialist pollinators were found on the forest floor and in gaps.",1998
The effect of timing of pollination on the mating system and fitness of Kalmia latifolia (Ericaceae),Ericaceae; facultative response; fruit set; Kalmia latifolia; plant mating systems; pollination; reproductive assurance; resource provisioning; seed set; selfing rate,TRISTYLOUS EICHHORNIA-PANICULATA; MALE REPRODUCTIVE SUCCESS; INBREEDING DEPRESSION; SELF-FERTILIZATION; SEED PRODUCTION; WILD RADISH; NATURAL-POPULATIONS; FRUIT ABORTION; AVENA-BARBATA; MATE CHOICE,"Plant mating systems are known to vary within species and some immediate ecological factors have been found to be associated with the geographic distribution of selfing. The environmental condition of the maternal plant may influence the production of selfed seed relative to outcrossed seed. This study investigated the effect of late pollination on the mating system of Kalmia latifolia, a long-lived perennial shrub. A 2 x 2 experimental design was used to determine whether reproductive success declines over the course of the flowering season and whether there was an interaction between pollination time (early vs. late in the season) and pollen type (self-fertilized vs. outcrossed). An interaction of this sort would indicate context-dependent fitness of selfed seeds compared to outcrossed seeds and, thus, show an ecological influence over a plant's mating system. Relative fitness was assessed in terms of female reproductive success. Timing of pollination did not affect abortion of outcrossed seeds; however, delay in pollination increased abortion of selfed seeds by 34.7%. Thus, it appears that plants selectively aborted selfed seeds rather than outcrossed seeds and this selection was more intense at the end of the season. An ecological factor such as time of pollination may affect the mating system of K. latifolia.",1998
Ecological and genetic factors contributing to the low frequency of male sterility in Chamaecrista fasciculata (Fabaceae),Chamaecrista; compensation; dioecy; Fabaceae; frequency-dependent selection; gynodioecy; male sterility; pollinator behavior,PHACELIA-LINEARIS HYDROPHYLLACEAE; RESOURCE COMPENSATION; FORAGING BUMBLEBEES; TRIFOLIUM-HIRTUM; EVOLUTION; GYNODIOECY; SEX; POLLINATORS; ANGIOSPERMS; ALLOCATION,"Bumble bee pollinated Chamaecrista fasciculata provides pollen as the sole reward to its pollinators. Male sterility, expressed as an absence or nearly complete absence of pollen production, occurs in low frequency in populations of C. fasciculata. Here we describe experiments, using C. fasciculata, to examine frequently cited determinants of the spread and maintenance of male sterility: compensation and the genetic basis of male sterility. In addition, we examine the role the pollination system plays in determining the reproductive success of the male steriles. Seventeen populations in Maryland, Illinois, and Kansas were surveyed and found to range from 0 to 6% male sterility per population. An artificial population of male-sterile simulants and hermaphrodites was created to examine how the local frequency of nonrewarding male steriles might affect male-sterile female reproductive success. Male steriles performed equally poorly, with respect to seed production, whether surrounded by other male-sterile simulants or hermaphrodites. Compensation was examined by comparison of male steriles and hermaphrodites with respect to several reproductive and nonreproductive characters. Male steriles outperformed hermaphrodites in terms of nonreproductive biomass, but performed equally in terms of ovule number and produced many fewer flowers. The genetic basis of male sterility was examined by performing both intra- and interpopulational crosses of male steriles to hermaphrodites and indicate that male sterility is not purely cytoplasmic. The low frequency of male sterility in C. fasciculata populations may reflect reduced female reproductive success because of pollinator avoidance, lack of reproductive compensation, and a mode of inheritance that is not purely cytoplasmic.",1998
Pollination ecology and maintenance of species integrity in co-occurring Disa racemosa L.f. and Disa venosa Sw. (Orchidaceae) in South Africa,,BIOLOGY; DECEPTION; BULBOSA,"The orchid Disa racemosa was found to be pollinated by xylocopine and anthophorine bees (Xylocopa and Amegilla spp.) at several sites in the Cape Floral Region of South Africa. A precise floral mechanism ensures that pollinaria are always attached to the middle pair of legs on the pollinator. Flowers of D. racemosa are nonrewarding, but nevertheless attract bees searching for new food sources. Levels of pollination and fruiting success were low, varying from 4 to 48% among the eight study populations. Disa racemosa is often sympatric and co-flowering with its very similar, though much rarer, sister species Disa venosa. The only character that is consistently different between the taxa is the width of the sepals. Although the two species appear to have the same pollinators, natural hybrids between them have never been found. The results of experimental crosses indicated that a sterility barrier, rather than ethological or mechanical barriers, is responsible for the maintenance of species integrity in mixed populations.",1998
Reaction norms of juvenile traits to light intensity in Iris pumila (Iridaceae): a comparison of populations from exposed and shaded habitats,Iridaceae; Iris pumila; reaction norms; phenotypic plasticity; genetic variation; population differentiation; light intensity,SPATIALLY HETEROGENEOUS ENVIRONMENT; PHENOTYPIC PLASTICITY; QUANTITATIVE GENETICS; EVOLUTION; PLANTS; AVAILABILITY; PERFORMANCE; SELECTION,"Reaction norms were determined in two natural populations of the perennial plant Iris pumila from contrasting light conditions at two levels of photosynthetically active radiation (105 and 35 mu mol m(-2)s(-1)). Seedlings developed from free-pollinated seed families sampled individually from 19 and 12 randomly selected clonal genotypes in an exposed and a shaded population respectively, were grown in a growth room using a mixed model nested factorial experimental design and scored for a number of phenological and morphological traits. Ambient light conditions significantly affected all of the juvenile traits measured. In both populations, relatively convergent norms of reactions were revealed for leaf appearance dates, as well as for leaf number, suggesting the importance of these traits for functional adjustment to prevailing light conditions. Reaction norms for morphological traits, however, were largely nonparallel, but although often crossing each other, a significant family-by-treatment interaction in the ANCOVAs performed was not detected for any of the traits measured, indicating a small amount of genetic variation for plasticity in these populations. The extent of plastic response to light availability was determined and expressed as an index that estimates the percentage change in a trait value from a high to a low light level. Evolutionary and ecological implications of the observed plastic variations are also discussed.",1998
Comparative kairomonal chemical ecology of diabroticite beetles (Coleoptera : Chrysomelidae : Galerucinae : Luperini : Diabroticina) in a reconstituted tallgrass prairie ecosystem,Diabrotica; rootworms; kairomonal attractants; tallgrass prairie,CORN ROOTWORMS COLEOPTERA; CUCURBITA-MAXIMA DUCHESNE; VIRGIFERA-VIRGIFERA; CRISTATA COLEOPTERA; ATTRACTANTS; VOLATILES; NORTHERN; IDENTIFICATION; PHEROMONE; BLOSSOMS,"The olfactory response to volatile semiochemicals was determined for Diabrotica undecimpunctata howardi Barber, the spotted cucumber beetle, Diabrotica virgifera virgifera LeConte, the western corn rootworm, Diabrotica barberi Smith & Lawrence, the northern corn rootworm, and Diabrotica cristata (Harris), a nonpest species in a tallgrass prairie ecosystem and adjacent corn and cucurbit agroecosystems in Illinois. The results indicate that the divergence in response to plant volatiles by these Diabrotica species can be correlated with currently accepted phylogenetic groupings between the virgifera and fucata groups, as well as within the virgifera group. For example, cinnamaldehyde is most attractive to D. u. howardi (fucata group), whereas 4-methoxycinnamaldehyde is a specific attractant for D. u. virgifera (virgifera group). The 2 closely related species D. barberi and D. cristata (virgifera group) were both attracted to eugenol, cinnamyl alcohol, and 4-methoxyphenethanol on one or more test dates. Although D. cristata is not normally found in cucurbit blossoms, adults were attracted to traps containing shredded blossoms of Cucurbita maxima Duchesne ex Poir. Furthermore, all 4 Diabrotica species responded to a multicomponent synthetic lure (a cucurbit blossom mimic), suggesting a commonality of response to cucurbit blossom aroma. A review of the literature on Diabroticite chemical ecology suggests cucurbit volatiles acted evolutionarily as synomones, providing a primitive means of pollination for cucurbits. For several Diabrotica species, the olfactory response to these volatiles also may have facilitated the finding of noncucurbitaceous pollen sources.",1998
"Can wind pollination provide a selective benefit to mast seeding in Chionochloa macra (Poaceae) at Mt Hutt, New Zealand?",mast seeding; mass flowering; wind pollination; inbreeding depression; predator satiation; economies of scale; Chionochloa; Poaceae,REPRODUCTIVE SYNCHRONY; EVOLUTIONARY ECOLOGY; PREDATION; PALLENS; MODELS; TREES; OAKS,"Mast seeding, which is very pronounced in Chionochloa (Poaceae) in New Zealand, could provide selective advantages through reduced seed predation or through more efficient wind pollination. The importance of wind pollination in favouring masting was tested experimentally by measuring the pollination success of Chionochloa macra individuals in 10 m x 10 m plots subject to a range of experimentally altered flowering densities within a single season. Very low local flowering densities produced a moderate but non-significant increase in the proportion of unfilled seeds (assumed to represent unsuccessful pollination). This result is consistent with the conclusions from between-year observational studies on Chionochloa pallens that wind pollination makes only a small contribution to any present selective benefit of masting in Chionochloa. However, masting may provide larger benefits from higher seed quality (reduced inbreeding depression) than from seed quantity.",1998
"Reproductive ecology of Uapaca kirkiana (Euphorbiaceae) in Malawi, southern Africa",anthesis; conspecific neighbours; dioecious; fruit production; inflorescence; phenology; reproductive biology; sex ratio; Uapaca,TROPICAL FOREST TREES; MYRISTICA-INSIPIDA MYRISTICACEAE; SEX-RATIOS; DIOECIOUS TREE; RAIN-FOREST; FRUIT-SET; SPATIAL-DISTRIBUTION; PLANTS; POLLINATION; POPULATIONS,"The dioecious character (sex ratios and stand structures, conspecific neighbour relationships, inflorescence numbers and structure) and reproductive process (phenology, anthesis, flower visitors and fruit production) of a miombo woodland species, Uapaca kirkiana were investigated in natural populations in Malawi. The sex ratio of reproductive individuals greater than or equal to 10 cm diameter at breast height was about 1:1 and departures from this ratio mostly resulted from a higher proportion of the males. Spatially, the sexes were randomly distributed but generally within 10 m of each other with no obvious gender differences in size. Throughout Malawi, male and female reproductive individuals flower synchronously between October-April (with a peak period in February-March). A 6: 1 male to female inflorescence sex ratio was common. Anthesis in female inflorescences lasts almost twice as long as in male inflorescences and only the latter have any odour. On male trees, inflorescences are in fascicles, whereas on female trees, they are solitary. In both cases, the infloresences are generally similar in size except for the peduncles of the male inflorescences which are longer than the female's. A range of insects visits U. kirkiana flowers but the most likely pollinators are bees (Apis mellifera), and beetles (Dothera bennigseni, Chelomenes lunata, Alcidodes denticulatus and Mitracamenta sp.). Apart from pollen from the male inflorescences, female flowers do not offer any obvious reward for flower visitors. Pollination studies revealed that assisted pollination did not significantly improve fruit production or seed quality over unpollinated or naturally pollinated inflorescences. Facultative agamospermy (apomixis) is suspected as a phenomenon requiring further attention in U. kirkiana.",1998
"Reproductive biology of the carrion-flower, Smilax herbacea (Smilacaceae)",Smilax herbacea; dioecy; sex ratio; pollination mechanisms; entomophily; fruit set; pollen limitation; resource limitation,SEX-RATIO; PLANTS; POLLINATION; EVOLUTION; SYSTEMS,"Pollination biology, reproductive output, and population structure of male and female plants and flowers of Smilax herbacea were studied in nearly 900 individuals from 11 roadside populations in northeast-central Connecticut over a three-year period. Percentages of either sex did not vary across sites or between years. Reproductive plants represented 60% of an average population and nearly 65% of these were male. Female mortality is suggested as the most likely reason for the strong male bias (2.3 male:1 female). The male plants, although smaller, had twice the number of inflorescences, and 68% more flowers than female plants. Both inflorescence and flower number were significantly correlated with plant size in male plants. This correlation was absent for female plants implying that male plants are less constrained in the number of inflorescences and flowers they can produce. Although site size, population size, and population density of both female and male plants varied significantly across sites, gender and overall plant densities were not correlated with site size. However, a significant interaction was found between the densities of each sex and the site of their occurrence, suggesting that distribution of gender patterns may be influenced by site-specific ecological factors. Smilax herbacea can be characterized as a generalist in its attraction of pollinators. The carrion-like odor produced in tepals of male and female flowers, and the pollen reward of the staminate flowers attract bees, beetles, and flies. Due primarily to their high mobility and good pollen carrying capacity, andrenid and halictid bees and anthomyiid and stratiomyiid flies are considered major pollinators. Minor pollinators include soldier (Cantharidae), long-homed (Cerambycidae), and fire-colored (Pyrochroidae) beetles. Overall fruit set was lower in 1995 than in 1994 or 1996; this likely was due to unusually wet conditions that year. No significant difference in fruit set among populations was detected. Less than 1% of intrapopulational fruit set variation was explained by either site size or by plant density. Male plant densities were not significantly correlated with fruit set across sites. Furthermore, experimental interpopulational crosses did not significantly increase fruit set. These facts imply resource rather than pollen limitation in female plants.",1998
Foraging ecology and behaviour of the alfalfa pollinating bee species Megachile nana (Hymenoptera : Megachilidae),Megachile nana Bingh 1802; Medicago sativa; flight activity; path-analysis; pollination; weather factors,,"The flight activity of Megachile nana Bingh 1802 foraging on alfalfa Medicago saliva L was related to some weather factors. The flight activity correlated positively with temperature, light intensity, solar radiation, nectar-sugar concentration and negatively with relative humidity. Bees were generally most active between 12oo-14ooh. Path coefficient analysis revealed whether the relationship expressed by simple correlation was direct or indirect. Of the five factors studied, only relative humidity and solar radiation were found to influence flight activity directly.",1998
Reproductive biology of the rare biennial Gentianella germanica compared with other gentians of different life history,autofertility; conservation; Gentianaceae; life history; marginal population; reproductive success,POPULATION GENETIC CONSEQUENCES; POLLINATION ECOLOGY; SEED-SET; INBREEDING DEPRESSION; HABITAT FRAGMENTATION; SELF-FERTILIZATION; PNEUMONANTHE L; FRUIT-SET; PLANTS; EVOLUTION,"We tested reproductive biology and pollination limitation of the rare Gentianella germanica in two large populations in The Netherlands, at the margin of its distribution area. Gentianella germanica is self-fertile, but pollinators are essential for the transport of pollen ro the stigmas. In caged and untouched flowers the mean seed set was reduced to less than 30%. However, the ability of auto-deposition of pollen on the stigma varied between individuals (0-90%). The reduced seed set after hand-selfing in one population indicates some inbreeding effects on ovule or seed abortion, but in the other population no inbreeding depression was observed. This population had an overall lower seed set and seed number per fruit. Despite the favourable nutrient conditions, and higher number of ovules per flower in this population, there was apparently a limit to the number of seeds that could be matured per fruit. There was no evidence for pollination limitation in either population. A comparison of autofertility and ovule production per flower with several other gentian species differing in life history confirmed the hypothesis that the annual and most gentians are selfers and the perennials predominant outcrossers. Hence, particularly the perennial gentian species risk reductions of reproductive success and inbreeding depression owing to habitat fragmentation and pollination limitation. In contrast to other biennials, G. germanica was more similar to the perennial species, because of its poor autofertility. The possible role of herkogamy and dichogamy in the varying ability of individuals to self-pollinate spontaneously is discussed, and will tie studied in the near future.",1998
Wasp composition in inflorescences of two dioecious fig species - Implications for the fig-wasp mutualism,Agaonidae; Ficus; gynodioecy; India; Moraceae; mutualism; parasite; pollination; tropics,POLLINATOR MUTUALISM; SEX-RATIOS; FICUS; EVOLUTION; CHALCIDOIDEA; HYMENOPTERA; COMMUNITIES; AGAONIDAE; DYNAMICS; ECOLOGY,,1998
Floral scent and pollination in Browneopsis disepala (Leguminosae : Caesalpinioideae) in western Ecuador,Leguminosae; Browneopsis; floral scent; floral development; bat pollination; moth pollination; mixed pollination system,ORCHIDACEAE; MORPHOLOGY; CHEMISTRY; MOTHS,"Aspects of the pollination ecology of Browneopsis disepala, including floral scent composition, were studied. Floral scent was collected with head space techniques and analyzed by coupled gas chromatography-mass spectrometry. Inflorescence and flower development were followed, and amount and concentration of nectar measured. Flower-visiting animals were observed nocturnally and diurnally. Inflorescences of B. disepala emit a floral scent that is typical of neither moth-nor bat-pollinated plants, but contains some compounds related to both pollination types. Nectar is produced in quantities and with sugar concentrations falling within a range typical of both moth-and bat-pollinated plants. The inflorescences are visited by both moths and bats, but the behavior of the bats suggests that they are the more efficient pollinators. Browneopsis disepala has a mixed pollination system and is dependent on animals for pollination.",1998
Temporal and spatial variation in abundances of native bee species on an altitudinal gradient in southern Tasmania,,POLLINATION MECHANISMS; DIVERSITY; ECOLOGY,"Bee assemblages were investigated in heathy coastal forest, shrubby dry sclerophyll forest, and shrubby subalpine forest near Hobart, in southern Tasmania, during spring, summer, and autumn between September 1996 and October 1997. Several taxa previously unknown from the state were encountered, including the first Tasmanian records of the halictid subfamily Nomiinae. Assemblages varied both temporally and spatially. Temporal variation within particular vegetation types was due to interspecific differences in flight periods. Spatial variation resulted from most species being restricted to one or two of these vegetation types, with species richness being substantially lower in the subalpine area than the two vegetation types at lower altitude. This variation also involved several species being more or less restricted to one habitat. In particular, Lasioglossum (Austrevylaeus pertribuarium) was a subalpine specialist while numerous species were more or less restricted to either coastal or dry sclerophyll forests. There was also an interaction between these two forms of variation, in the form of divergence in the flight periods of individual species in different vegetation types.",1998
Is the limited diversity of higher plants in marine systems the result of biophysical limitations for reproduction or evolutionary and physiological constraints?,,ANGIOSPERM ZOSTERA-MARINA; SUBMARINE POLLINATION; COMPARATIVE ECOLOGY; PHOTOSYNTHESIS; SEAGRASSES; POPULATION; TRANSPORT; WATER; FLOW,,1998
Compatibility of crosses between gene pools and evolutionary classes in the common bean (Phaseolus vulgaris L.),Andean region; genetic divergence; lethal gene; Mesoamerica; pollination; wild relative,VARIABILITY; WILD; WEAKNESS; FABACEAE,"The extent of genetic divergence between the Mesoamerican and Andean gene pools and between evolutionary classes (wild, landrace and bred) in Phaseolus vulgaris was explored. The compatibility of crosses was assessed by the frequency with which pollination was successful and the number of seeds in the resulting pod. Mesoamerican genotypes were more effective as pollinators than Andean genotypes, regardless of the gene pool of the female parent. Though certain individual genotypes were more easily pollinated by genotypes of one or other of the gene pools, there was no consistent tendency for pollinations between genotypes within a gene pool to be more successful than those between gene pools. In crosses among wild and landrace genotypes, the landrace genotypes were more easily pollinated. In those among wild and bred genotypes, the bred genotypes were more effective as pollinators, and the number of seeds per pod was greater in crosses between the evolutionary classes than in those within classes. In crosses among landrace and bred genotypes, those within evolutionary classes had higher success rates than those between classes (47.2% vs. 38.9%), and produced more seeds per pod. However, these results do not represent a major barrier between the evolutionary classes. The hypothesis that dwarf-lethal incompatibility in inter-gene pool crosses is controlled by two complementary dominant genes (the DL-gene hypothesis) was tested by comparing the numbers of normal and abnormal plants in the progeny of three-way crosses, and the ratios obtained were consistent with the hypothesis. It is concluded that there is no biological barrier between the two gene pools and that they are distinct because, by accident of ancestry, they are located in geographically isolated and ecologically distinct areas, with different cultural practices and preferences. Research programmes aimed at transferring desirable traits between the gene pools should therefore be encouraged.",1998
Stress-induced male sterility and mixed mating in the island plant Cedronella canariensis (Lamiaceae),"Lamiaceae, Cedronella canariensis; Apidae, Bombus canariensis; Lepidoptera, Macroglossa stellatarum; Canary Islands; cross-pollination; gynodioecy; gynomonoecy; male sterility; mixed mating system; nectar-robbing; self-pollination",SAXIFRAGA-HIRCULUS; BIRD-FLOWER; POLLEN; POPULATION; BIOLOGY,"On the Canary Islands, we studied reproductive ecology of the perennial laurel forest herb Cedronella canariensis (Lamiaceae). Flowers contained small quantities of concentrated nectar. Flower visitors were mainly bumblebees (Bombus terrestris subsp. canariensis) and lepidopterans (especially Macroglossa stellatarum). Their abundance, pollen load, and behaviour are reported. Cedronella canariensis was facultatively autogamous. The P:O ratio was higher than expected for a plant with a breeding system of this nature. Seed set was not pollen-limited. Selfed and outcrossed seeds differed in weight. Small, lightly coloured flowers with dysfunctional stamens appeared towards the end of the season. This male-sterility might be induced by drought.",1998
Reproductive strategy of a perennial herb: Hypoxis decumbens (Hypoxidaceae),Hypoxys decumbens; perennial herb; mixed mating system; autogamy; outbreeding depression; pollination; fruit and seed set; biomass allocation,TROPICAL CLOUD FOREST; CROSS-FERTILIZATION; BIOMASS ALLOCATION; SELF-FERTILIZATION; BREEDING SYSTEMS; FEMALE FUNCTIONS; MATING SYSTEM; FRUIT-SET; PLANTS; BIOLOGY,"The reproductive strategy of Hypoxis decumbens L. (Hypoxidaceae), a perennial herb with hermaphroditic flowers, was studied to check the relations between reproductive system, life form, habitat, pollination system and other morphological and ecological features. The study was done in a secondary deciduous forest with a population of 150-200 plants. Controlled pollinations were done in twenty isolated plants. The results pointed out that H. decumbens is an autogamous species, with outbreeding depression apparently reflecting environmental adaptation of the autogamous genotypes. The main pollinators were generalist insects, like dipterans. If has functionally solitary and actinomorphic flowers, with well exposed floral parts, displayed approximately at the same height, and with inner and before anthesis dehiscence of the anthers. The biomass allocation was mainly to female structures, like fruits and seeds, which was reflected in a low male-female biomass ratio, and in high fruit and seed set. The pollen-ovule and the attraction-support biomass ratios were low, associated with autogamous species, which have reliable pollination. The dispersal unit is the seed and the dispersal syndrome is myrmecochory, with the infructescence prostrate over the soil, the fruit with gradual dehiscence and with lipid droplets and placental remains (also with lipid content) in the seed coat. This species has several structural and functional attributes that sustain a mixed mating system and, although the results indicate that most of the progeny is autogamous; it does not sacrifice the opportunity for out-crossing.",1998
Floral biology of the distylous Mediterranean shrub Jasminum fruticans (Oleaceae),,DECODON-VERTICILLATUS LYTHRACEAE; EVOLUTION; PONTEDERIACEAE; POLLINATION; PATTERNS; FLOWERS; ECOLOGY,"Various aspects of the reproductive biology of two populations of the distylous shrub Jasminum fructicans (Oleaceae) in the northwest Iberian Peninsula were studied during 1994 and 1995. This species is a 'tropical' relict of pre-Miocene origin. Two morphs (the L morph with long-style/short-pistil, and the S morph with short-style/long-pistil) occur. Our results indicate that morph frequency ratio in the study populations is one-to-one. Experimental crosses revealed self-incompatibility, very weak within-morph compatibility and strong between-morph compatibility (in all cases as is typical of distylous species). Pollen grains are larger in S-morph plants, while both nectar reward and fruit set are higher in L-morph plants. However, no differences were detected in number of pollen grains per stamen or in pollinator spectrum (the most frequent visitors to flowers of both morphs being species of the hymenopteran genera Anthophora, Melecta and Bombus).",1998
